Xv5EbpcAAAAJ	Taber LA	[biomechanics, morphogenesis]
YBQai3gAAAAJ	Long Tran-Thanh	[Artificial Intelligence, AI for social good, multi-armed bandits, game theory, crowdsourcing]
nPDJ-fAAAAAJ	Andrew M. Smith	[Complex Networks, Game Theory, Multiagent Systems]
LM_QwbUAAAAJ	Ellen Wright Clayton	[genetics, ethics, research, pediatrics, vaccine]
nxuhv0wAAAAJ	Kiran Lakkaraju	[Computational Social Science, Agent Based Modeling, Massively Multiplayer Online Games, technology adoption]
BL7mk9IAAAAJ	weiyi xia	[N/A]
C5eimrcAAAAJ	Jian Lou	[Computational game theory, Mechanism Design, Artificial Intelligence, Machine Learning, Auction Theory]
avGnwvwAAAAJ	Jackson R. Mayo	[Nonlinear Science, Complex Systems, Cyber Security]
8iQk0DIAAAAJ	Michael Kearns	[Machine Learning, Algorithmic Game Theory, Network Science, Computational Social Science, Algorithmic Trading and Computational]
qXb4xQMAAAAJ	Murat Kantarcioglu	[Security and Privacy, Databases, Computer Security, Data Science]
U9oBOmMAAAAJ	Waseem Abbas	[Network Controls, Cyber-physical Systems, Graph-theoretic Methods in Multiagent systems]
Kf97-EkAAAAJ	Bradley Malin	[Data Science, Electronic Medical Records, Genomics, Privacy]
XgifkSsAAAAJ	Daniel Reeves	[Game theory, Artificial Intelligence, Ecommerce]
-0LFOnYAAAAJ	Christopher Kiekintveld	[Artificial Intelligence, Computational Game Theory, Multi-Agent Systems]
q92q8SMAAAAJ	Satinder Singh	[Reinforcement Learning, Computational Game Theory, Artificial Intelligence]
PEEpuNwAAAAJ	Bo An	[Artificial intelligence, multi-agent systems, game theory, automated negotiation, optimization]
YOVZiJkAAAAJ	Milind Tambe	[Multiagent Systems, Artificial Intelligence, Game Theory, Security, Intelligent Agents]
ckHkkjgAAAAJ	Aron Laszka	[Security, Cyber-Physical Systems, Game Theory, Economics of Security]
UruIct4AAAAJ	Michael Wellman	[Artificial Intelligence, Computational Finance, Computational Game Theory]
BiVROyUAAAAJ	Yang Xiao	[Network Security, Blockchain]
u18hG4gAAAAJ	Kun Sun	[Systems and network security]
d6CtlCkAAAAJ	Thomas Hou	[Wireless Networking, Modeling and Optimization, Ad Hoc Networks, Edge Networks, Wireless Security]
hM8uAwoAAAAJ	Wenjing Lou	[Cyber Security, Wireless Networks, Wireless Security, Network Security, Cloud Computing]
HdLFmroAAAAJ	William Yeoh	[Artificial Intelligence, Multiagent Systems]
WHZiLTIAAAAJ	Akshat Kumar	[Artificial Intelligence, Machine learning]
q_n7d6EAAAAJ	Shlomo Zilberstein	[Artificial Intelligence, Automated Planning, Multiagent Systems, Autonomous Agents, Bounded Rationality]
QwgBHHIAAAAJ	Atena M.Tabakhi	[Artificial Intelligence, Constraint Optimization Problems, Distributed Constraint Optimization Problems]
tHNANpEAAAAJ	Roie Zivan	[Multi Agent Systems, Distributed Artificial Intelligence]
HxpHciQAAAAJ	Khoi D. Hoang	[Artificial Intelligence, Multi-agent Systems, Constraint Optimization Problem]
t4rXchwAAAAJ	Ariel Felner	[Artificial Intelligence, Heuristic Search]
dHXCX-sAAAAJ	Makoto Yokoo	[Multiagent systems, algorithmic game theory, market design, auction theory, matching]
m9nqJ_YAAAAJ	Ping Hou	[probabilistic planning, reinforcement learning]
3RV_GAwAAAAJ	Tiep Le	[Artificial Intelligence, Multi-context System, Logic Programming, Distributed Constraint Optimization Problem]
2YZITOgAAAAJ	Hoong Chuin Lau	[Applied Optimization, Logistics and Transportation, Planning and Scheduling, Metaheuristics, Multi-agent Systems]
BAdQpFkAAAAJ	Pradeep Varakantham	[Multi-Agent Systems, Deep Reinforcement Learning, Artificial intelligence, Game theory]
7jKj_NcAAAAJ	Tran Cao Son	[Artificial Intelligence, Logic Programming, Intelligent Agent, Planning]
vEbcIKYAAAAJ	Enrico Pontelli	[Logic and Constraint Programming, Knowledge Representation and Reasoning, Bioinformatics, Assistive Technologies, Parallel and D]
ASf9Q04AAAAJ	Ferdinando Fioretto	[Artificial Intelligence, Multiagent Systems, Differential Privacy]
tpoh43QAAAAJ	Sven Koenig	[Heuristic Search, Automated Planning, Autonomous Systems, Intelligent Agents, Artificial Intelligence]
snf71h4AAAAJ	Netanel Raviv	[N/A]
6_oL_9IAAAAJ	Muriel Medard	[Information theory, communications, networks, wireless, network coding]
6qDjHUAAAAAJ	Yuval Cassuto	[Coding theory, data storage and memory, communications, data networking]
WKzKz9gAAAAJ	Moshe Schwartz	[Coding Theory, Combinatorics, Discrete Mathematics]
Viv2E9AAAAAJ	Eitan Yaakobi	[Coding Theory, Information Theory, Non-volatile Memories, Storage]
-IBPxn0AAAAJ	Rashish Tandon	[Machine Learning, Optimization, Algorithms, Statistical Learning Theory]
JSFmVQEAAAAJ	Alexandros G Dimakis	[Information Theory, Machine Learning, Coding Theory, Storage]
SxUNhucAAAAJ	Qian Yu (于乾)	[Information Theory, Distributed Computing, Reversible Logic]
M93Auk4AAAAJ	Eli Ben-Sasson	[theoretical computer science, cryptography, blockchains, cryptocurrencies]
tDZ0XesAAAAJ	Antonia Wachter-Zeh	[coding theory, coding for storage, code-based cryptography]
HgaNy9kAAAAJ	Jehoshua Bruck	[coding theory, storage systems, information theory, computational complexity theory, molecular programming]
vJ1MBM4AAAAJ	Natalia Silberstein	[coding theory, recommender systems, machine learning]
iNANm-sAAAAJ	Itzhak Tamo	[coding theory, storage systems, information theory, combinatorics, and algebraic tools in combinatorics]
Qhe5ua0AAAAJ	Salman Avestimehr	[Information Theory, Coding Theory, Machine Learning, Distributed Computing]
yepPD_cAAAAJ	Alvitta Ottley	[Visualization, Human-Computer Interaction]
oBjeJncAAAAJ	Qiyu Zhi	[Human computer interaction, information visualization, natural language processing]
GgKnNwEAAAAJ	Ronald Metoyer	[human-computer interaction, information visualization]
7WgUoKMAAAAJ	Jieqiong Zhao	[Visual Analytics, InfoVis]
CUkAtC4AAAAJ	Roman Garnett	[machine learning, active learning, active search, Bayesian optimization, Gaussian processes]
fhOi--4AAAAJ	Shirley Ho	[Cosmology, Astrophysics, Machine Learning, Statistics]
6nuM6rcAAAAJ	Andrea Perna	[collective behaviour, collective motion, ecology, metabolic scaling theory, morphogenesis]
ZqTie5sAAAAJ	James Herbert-Read	[Animal Behaviour, Behavioural Ecology, Marine Biology, Sensory Biology]
Zc6X700AAAAJ	Ashley Ward	[animal behaviour, sociality, collective behaviour, sensory ecology]
5LubxuUAAAAJ	Shali Jiang	[Machine learning, active learning, active search, Bayesian optimization]
qq-SXN8AAAAJ	Benjamin Moseley	[Algorithms, Operations Research, Machine Learning, Scheduling, Parallel Computing]
IksW07MAAAAJ	David Sumpter	[Collective Behaviour]
UeG5w08AAAAJ	Philipp Hennig	[Machine Learning, Probabilistic Numerics, Gaussian Processes]
jsxk8vsAAAAJ	Kilian Weinberger	[Machine learning, Artificial Intelligence, Metric learning, Learning to Rank, Deep Learning]
ZVMcyxYAAAAJ	Yifei Ma	[recommender systems, bayesian optimization, bandit, control]
sOI8QyoAAAAJ	Thomas Gärtner	[Machine Learning, Data Mining, Computer Games]
qfSkqSUAAAAJ	Marion Neumann	[Graph-based Machine Learning, Analysis of Networks, Graph Mining]
V1Qym88AAAAJ	Babak Ahmadi	[Statistical Relational Learning, Artificial Intelligence, Statistical Relational AI, Machine Learning]
dgobB6AAAAAJ	Luc De Raedt	[artificial intelligence, machine learning, computational logic, statistical relational learning, probabilistic programming]
OBBqkosAAAAJ	Muhan Zhang	[Machine Learning, Data Mining]
wGT17PcAAAAJ	Nils M. Kriege	[Combinatorial Optimization, Graph Algorithms, Data Mining, Machine Learning, Visual Analytics]
f9iP-80AAAAJ	Christian Bauckhage	[Pattern Recognition, Machine Learning, Web Science, Computer Games]
QY-earAAAAAJ	Kristian Kersting	[Artificial Intelligence, Statistical Relational Learning, Probabilistic Programming, Tractable Models, Plant Phenotyping]
eFf2p4cAAAAJ	Wenjie He	[Wavelets, Splines, Image Processing, Artificial Intelligence, Online Education]
omeqIrAAAAAJ	Gustavo Malkomes	[machine learning, Bayesian optimization, active learning, Gaussian processes, k-center]
w_lm_toAAAAJ	Richard P Mann	[Statistics, Applied Mathematics, Collective Behaviour]
3bSbb20AAAAJ	Jeff Schneider	[Machine Learning]
T1lNNLkAAAAJ	Stephen Roberts	[Machine Learning, Bayesian Inference, Complex Systems, Finance, Astrostatistics]
iTNcAakAAAAJ	Michael A Osborne	[Machine Learning, Technological Change, Probabilistic Numerics, Bayesian Optimization, Gaussian Processes]
FKbHXRUAAAAJ	Juan E. Gilbert	[Human-Centered Computing, Voting Systems, Electronic Voting, Broadening Participation in Computing, UX]
k85-_6YAAAAJ	Jerone Dunbar	[User Experience for Semi-Autonomous cars, Human Factors, User-Centered Design, Human-Computer Interaction, Vehicle Infotainment]
dxY9AtsAAAAJ	Anzu Hakone	[Visual Analytics, Human Computer Interaction, Medical Risk Communication]
KvPSD8EAAAAJ	Huahai Yang	[Human-Computer Interaction, Information Visualization, Computational Psychology, Natural Language Processing]
z8NwFvcAAAAJ	Krysta Chauncey	[N/A]
C2lVQO8AAAAJ	Daniel Afergan	[HCI, brain-computer interfaces, adaptive interfaces, fNIRS, virtual environments]
8zeXprkAAAAJ	Eli T. Brown	[Visualization, Machine Learning]
1sMNiJIAAAAJ	Richard Souvenir	[Computer Science, Computer Vision]
_ZIAy3cAAAAJ	Alex Endert	[human-computer interaction, information visualization, visual analytics]
FWjqglcAAAAJ	Robert Jacob	[Human-computer interaction]
MjoZWO8AAAAJ	Beste Filiz Yuksel	[Human-Computer Interaction, Brain-Computer Interfaces, Virtual Reality, Affective Computing, Music and Computing]
0RPdShUAAAAJ	Lane Harrison	[information visualization, visual analytics]
VDhnOHEAAAAJ	Caroline Ziemkiewicz	[Visualization, Human-Computer Interaction]
xWnnHzYAAAAJ	R. Jordan Crouser	[Visualization, Visual Analytics, HCI, Machine Learning]
H4TdGyYAAAAJ	Evan M. Peck	[Human-Computer Interaction, Visualization]
Q29WmWwAAAAJ	Remco Chang	[Visual Analytics, Information Visualization, Human Computer Interaction, Database]
WRlzk3UAAAAJ	I-Ting Angelina Lee	[runtime system, parallel computing, parallel programming, software systems]
PGSzSnYAAAAJ	Justin Deters	[parallel computing]
0o1C8ykAAAAJ	Joseph Devietti	[computer architecture, programming languages]
o3wWRZMAAAAJ	Milind Kulkarni	[Compilers, Programming Languages]
V0XEUMAAAAAJ	Aamir Shafi	[Parallel Computing, Multicore Computing, Data Center Computing]
TWXJxcAAAAAJ	Sameh Elnikety	[N/A]
SB3_eb0AAAAJ	He Yuxiong	[Algorithm, parallel processing, computer systems, scheduling]
Rt1a5-6vh4UC	Kathryn S McKinley	[Programming Language Implementation]
rE1Y8DoAAAAJ	Zhiyi Huang	[Parallel Computing]
kIKfrfQAAAAJ	Yifan Xu	[Parallel Computing]
NafmldkAAAAJ	Bradley Kuszmaul	[N/A]
3naoCC8AAAAJ	Robert Utterback	[Parallel Computing]
XTakCM0AAAAJ	Tao B. Schardl	[software performance engineering, parallelism, programming-language technologies, dynamic-analysis tools, algorithms]
gWBoNCsAAAAJ	Charles E. Leiserson	[computer science and engineering, mathematics]
Qu_xQjYAAAAJ	Brian Kocoloski	[High Performance Computing, Operating Systems, Virtualization, Cloud Computing]
DqCFHY8AAAAJ	Caitlin Kelleher	[Human Computer Interaction]
rYSLt_sAAAAJ	Clifton Forlines	[Human-Computer Interaction, User Experience, Human Factors, Cognitive Support Tools]
e2aDUp4AAAAJ	David Culyba	[Game Design, Computer Science Education]
2K_KqskAAAAJ	Franklyn A Turbak	[programming language design and implementation, visual programming languages, blocks programming languages, program visualizatio]
83an8lYAAAAJ	Jeff Gray	[Computer Science, Software Engineering]
WrnEVwQAAAAJ	Amanda Lazar	[Human Computer Interaction, Health Informatics, Aging, Biomedical Informatics]
FreXC9IAAAAJ	Rachel Proffitt	[Virtual Reality, Occupational Therapy]
8Qu_gAMAAAAJ	Sara Kiesler	[human-computer interaction, collaboration, human-robot interaction, social computing, online communities]
rRwTHzwAAAAJ	Kyle J. Harms	[Human Computer Interaction, Computer Science Education]
_cFhtU4AAAAJ	Michelle Ichinco	[Human-Computer Interaction]
HleefHQAAAAJ	Gazihan Alankus	[N/A]
3qYUSDwAAAAJ	Ulugbek S. Kamilov	[Computational Imaging, Optimization, Inverse Problems, Biomedical Imaging]
UhQJOB4AAAAJ	Yanting Ma	[optimization, applied probability, computational sensing]
MEc0TowAAAAJ	Juan Castorena	[Machine learning, Robotics, Optimization, Signal Processing, Autonomous vehicles]
KEucBooAAAAJ	JIAMING LIU	[Computational Imaging, Deep Learning, Model Based]
aPxDp7wAAAAJ	Laura Waller	[N/A]
1dxAw1cAAAAJ	Hsiou-Yuan Liu	[Computational Optics, Deep Learning]
MCClSvsAAAAJ	Alyson "Allie" K. Fletcher	[Statistics, computational neuroscience, applied mathematics, machine learning, information theory]
Js_zdpYAAAAJ	Aurélien Bourquard	[Signal and Image Processing, Compressed Sensing, Optimisation, Computational Optics, Translational Medicine]
wNIKmGoAAAAJ	Brendt Wohlberg	[computational imaging, image processing, sparse representations, image restoration, inverse problems]
w7Mnkc4AAAAJ	Ioannis N. Papadopoulos	[biomedical imaging, neurophotonics, imaging through scattering media]
nM77MX0AAAAJ	Vivek K Goyal	[Signal Processing, Computational Imaging, Information Theory, Mathematical Signal Processing, Quantization]
3ekS0ucAAAAJ	Arash Amini	[Statistical Signal Processing]
fzSHXS8AAAAJ	Sundeep Rangan	[wireless communications, 5G, cellular wireless, estimation, graphical models]
cza7nLcAAAAJ	Alexandre Goy	[Optics, microscopy, imaging, tomography]
mDoQWSwAAAAJ	Morteza Hasani Shoreh	[Machine Learning, Deep Learning, Image Processing, Biomedical Imaging]
-CVR2h8AAAAJ	Demetri Psaltis	[Optics]
chP1Vc0AAAAJ	Emrah Bostan	[Computational Imaging, Machine Learning, Computer Vision]
6yoY1d8AAAAJ	Dehong Liu	[Signal processing, compressive sensing, computational imaging]
cilyP7wAAAAJ	Petros Boufounos	[Signal processing, Compressive Sensing, Machine Learning, Embeddings]
ocXMyBcAAAAJ	Hassan Mansour	[Computational Imaging, Optimization, Sparse Recovery, Image/Video Analytics, Machine Learning]
nKVDcQoAAAAJ	Michael Unser	[image processing, wavelets, splines, biomedical imaging, inverse problems]
5wppdUoAAAAJ	Brendan Juba	[Theoretical Computer Science, Artificial Intelligence]
JsK4KpMAAAAJ	Tao Ju	[Computer graphics, bio-medical imaging and modeling]
3xlmctcAAAAJ	Uday Kurkure	[Image analysis, computer vision, pattern recognition]
-p_HMIUAAAAJ	Yen H. Le	[Biomedical Image Analysis, Computer Vision, Machine Learning, Pattern Recognition.]
gyL3CZ0AAAAJ	Chandrajit Bajaj	[Comp. Math., Data Sciences, Image Processing, Geometric Modeling, Structural Bioinformatics and Visualization]
v4s6ll8AAAAJ	Corey Hryc	[Structural Biology, Structure Function, Molecular Modeling, Computational Methods]
W2XJUmUAAAAJ	Kun Xu	[Computer Graphics, Image Editing, Rendering]
T7wzSQoAAAAJ	Hang Dou	[computer graphics, 3D vision, visualization]
zfTbkBkAAAAJ	Qian-Yi Zhou	[computer vision, computer graphics]
xPoCswkAAAAJ	Fred Prior	[quantitative imaging, informatics]
fAxws1sAAAAJ	Daniel Cohen-Or	[Graphics, Imaging, Geometric Modeling]
xEFh0AgAAAAJ	Nathan Carr	[Computer Graphics]
3JRh4RUAAAAJ	Erin Chambers	[Algorithms, Computational Topology and Geometry, Graph Theory]
xhpI-OoAAAAJ	Sasakthi Abeysinghe	[Graphics, Biomedical Imaging, Computer Vision]
3hrNqygAAAAJ	David Letscher	[Computational topology, 3-manifold algorithms]
36SCzI0AAAAJ	Ioannis A. Kakadiaris	[biometrics, computer vision, image analysis, deep learning, \ biomedical computing]
hgZgvkUAAAAJ	Matthew Baker	[Computational Biology]
LDb4tb0AAAAJ	Shi-Min Hu	[Geometry processing, Geometric Modeling, Computer Graphics, Image and Video processing, Computer Aided Design]
cGCalUQAAAAJ	James P. Carson	[Bioimage Informatics, Tissue imaging, Image Processing, Scientific Workflows, Science Gateways]
tIgxLTUAAAAJ	Scott Schaefer	[Computer Graphics]
QgGaAdsAAAAJ	Wah Chiu	[cryo-electron microscopy and tomography, structural biology]
runT3RsAAAAJ	Raj Jain	[Network Security, Blockchains, Unmanned Aircraft Systems, Wireless and Mobile Networks, Performance Analysis]
CPqBDqUAAAAJ	Mohammed Atiquzzaman	[Computer Networking, Wirelss Networks, Mobile Networks, Space Communications, Vehicular Communications]
ITwqf1gAAAAJ	Hitay Özbay	[Systems and Control]
T1P0XnIAAAAJ	Sriram Chellappan	[Social Computing, Smart Health, Cyber Security]
wuOltBEAAAAJ	Jinjing Jiang	[Communication Networks, Information Theory and Mathematics]
9s9o-JcAAAAJ	David Clark	[Computer networks, Internet, network performance, policy]
QRyCQq4AAAAJ	Srini Seetharaman	[Software-defined Networking]
iJakSYUAAAAJ	Mahbub Hassan	[IoT (Internet of Things), 6G Wireless Networks, Mobile Networking, Pervasive Computing and Communication, UAV Wireless Networkin]
GBGCjpQAAAAJ	vamsi paruchuri	[Networks, Security, Wireless, Vehicular, VANETs]
HhKyc4EAAAAJ	Chunlei Liu	[Computer Networks, Wireless Networks, Scientific Computing]
6Pmbv8IAAAAJ	Aiman Erbad	[Cloud computing, Distributed Systems, Networks, Security]
iqiEX78AAAAJ	Mohammed Samaka	[Problem-Based Learning, Elearning, Networking and Cloud Computing]
wTulq9QAAAAJ	Lav Gupta	[Multi-cloud security, AI in Network Performance Management, Network Function Virtualization, Security of Networks]
Da-s1FQAAAAJ	K. K. Ramakrishnan	[Computer Networking and Communications]
oVygx30AAAAJ	Abdel-Karim Al-Tamimi	[Multimedia Systems, Computer Networks, Data Modeling and Simulation, Computer Security, AI]
0jtFgaAAAAAJ	Chakchai So-In	[Computer Networks, Wireless Networks, Mobile Computing, Internet of Things, Wireless Sensor Networks]
6foKsAIAAAAJ	Dah Ming Chiu	[computer networks, network economics, measurement, data analytics]
l9QQeHgAAAAJ	Jianli Pan	[Internet of Things (IoT), Edge Computing, Machine Learning, Cybersecurity, Blockchain]
oN85b_gAAAAJ	Subharthi Paul	[Computer Networking, Software Defined Networks, Application Delivery Networking, Next Generation Internet Architecture, Cloud Co]
MrVb9FkAAAAJ	Arjan Durresi	[Network Architectures and Protocols, Security, Trust Management]
RJCmtBcAAAAJ	Shivkumar Kalyanaraman	[networking, traffic management, clean energy & transportation, sustainability]
DWKoeW0AAAAJ	Chien-Ju Ho	[Crowdsourcing, Artificial Intelligence, Machine Learning, Algorithmic Economics]
UK-VpDoAAAAJ	Siddharth Suri	[Gig Economy, Crowdsourcing, Behavioral Economics, Social Networks]
DZ3S--MAAAAJ	Mihaela van der Schaar	[machine learning, for medicine and education, data science and decisions, game theory, networks and multimedia]
HRSDO6IAAAAJ	Sanmay Das	[Artificial Intelligence, Computational Social Science, Machine Learning, Algorithmic Game Theory, Matching]
Dl0vAp8AAAAJ	Jeff Trinkle	[robotics, physical simulation, multibody dynamics, grasping, motion planning]
Q5KT-hEAAAAJ	Volkan Isler	[Robotics, Agricultural Robotics, Sensor Networks, Computer Vision, Geometric Algorithms]
3XYmsKQAAAAJ	Mukkai Krishnamoorthy	[Algorithms, Software Systems, Open Source Software]
bWTPrLEAAAAJ	John Tsitsiklis	[systems and control, optimization, stochastic systems, stochastic networks, operations research]
PfgeYGwAAAAJ	Sarit Kraus	[Artificial Intelligence, Multi-agent Systems (including people and robots)]
QgDpfCQAAAAJ	John P. Dickerson	[Artificial Intelligence, Game Theory, Dynamic Optimization, Mechanism Design]
-DVbMb4AAAAJ	Onn Shehory	[Artificial Intelligence, Software Engineering, Multiagent Systems, Electronic Commerce, Coalition Formation]
T_r8IWQAAAAJ	william wallace	[N/A]
sPbWHscAAAAJ	Akhtar Siddique	[Stress testing, financial institutions, asset pricing, quantitative methods]
im5aMngAAAAJ	Charles Elkan	[Machine Learning, Data Science, Finance, Computational Biology]
XdI8DgEAAAAJ	Emir Kamenica	[information economics]
2OJOZTUAAAAJ	Boleslaw Szymanski	[social networking, communication networks, social informatics, social network analysis, network science]
Qp5971IAAAAJ	Elliot Anshelevich	[Algorithms, Algorithmic Game Theory]
SnvLcLEAAAAJ	David Sarne	[Artificial Intelligence]
VQshP6UAAAAJ	Mithun Chakraborty	[Algorithmic Economics, Multi-agent Systems, Machine Learning]
edyidxgAAAAJ	Meenal Chhabra	[AI]
jKrIVCIAAAAJ	Yang Liu	[crowdsourcing, machine learning, incentive and consensus]
ZtQVZawAAAAJ	Rafael Frongillo	[Algorithmic economics, machine learning, information elicitation, dynamical systems]
4xHzvxkAAAAJ	Kwei-Jay Lin	[N/A]
SjjIQ24AAAAJ	Yu Zhang	[Online Reputation Management, Mechanism Design, Network Economics, Social Network Analysis, Game Theory]
FDu4ciwAAAAJ	Jacob Abernethy	[Machine Learning, Game Theory, Sequential Decision Making]
Y_Ieu7EAAAAJ	Bo Waggoner	[Theoretical Computer Science and Machine Learning, Algorithmic Microeconomics]
x_7xA0UAAAAJ	Yiling Chen	[Social computing, prediction markets and other information aggregation mechanisms, peer production, algorithmic game theory, auction theory]
h60zIiUAAAAJ	Shahin Jabbari	[N/A]
f2x233wAAAAJ	Aleksandrs Slivkins	[Algorithms, machine learning theory, algorithmic economics, social network analysis]
mgva3UgAAAAJ	Kuan-Ta Chen	[Quality of Experience, Multimedia Systems, Crowdsourcing, Computational Social Science]
KBRHCEEAAAAJ	Tsung-Hsiang Chang	[N/A]
FEj19lcAAAAJ	Jane Yung-jen Hsu	[Artificial Intelligence, Activity Recognition, Human Computation]
YRPveMcAAAAJ	Jennifer Wortman Vaughan	[FATE, Machine Learning, Algorithmic Economics]
54w2_AcAAAAJ	Roch Guerin	[networking, protocols, network economics, computer science]
13gSrSQAAAAJ	Gary Delp	[Electronics, Architecture, Standards, Negotiation, Technology transfer]
gUEkPQEAAAAJ	Phillip Rogaway	[cryptography, privacy, ethics and technology]
2pW1g5IAAAAJ	Mihir Bellare	[Cryptography, Security, Theory]
UYZGdYwAAAAJ	Kartik Hosanagar	[e-commerce, Internet marketing, Internet media, personalization, search engines]
_tCANFgAAAAJ	Rute C. Sofia	[networking, network architectures, IoT, mobility, computer science]
R-XGnpcAAAAJ	Antoni B. Przygienda	[Networking, Automation, Routing, IP]
3DtMaPEAAAAJ	Soumya Sen	[Internet economics, Information Systems]
tFjo6FwAAAAJ	Ashwin Sridharan	[Networks, Data, Optimization, Algorithms]
97MiT_0AAAAJ	Mahmoud Naghshineh	[cloud, mobile, analytics, consulting, business development]
p7XFn7MAAAAJ	Inder Gopal	[Networking, Cloud Computing, IOT]
bOKmjf8AAAAJ	lixin Gao	[Internet Routing, Multimedia Communication, Cloud Computing]
2X6fAZgAAAAJ	Zhi-Li Zhang	[Networking, Internet Techology, Systems, Data Mining & Machine Learning, Theory]
VVpfyhsAAAAJ	Kumar N. Sivarajan	[N/A]
IIhYQ7oAAAAJ	Shu Tao	[Network, Cloud Computing, Data Mining]
5c38WVcAAAAJ	Carl Kesselman	[computer science, medicine, bioinformatics]
VGoSakQAAAAJ	Ian T. Foster	[Computer science, computational science, distributed computing, data science]
azcMaLoAAAAJ	Israel Cidon	[networks, distributed systems, network on chip]
HaNGX5gAAAAJ	Ariel Orda	[Networking, Network Economics, Quality of Service, Network Resilience, Routing]
GjFfiVwAAAAJ	Leonidas Georgiadis	[N/A]
fAw_t5EAAAAJ	Roger Chamberlain	[Computer Engineering, Hybrid Computing, Computational Science]
3Zg-7o4AAAAJ	Gregory D. Peterson	[Computer architecture, computational science, reconfigurable computing, high performance computing, computational accelerators]
s4oOVCsAAAAJ	Jonathan C. Beard	[Heterogeneous Systems, HPC, Compilers, Languages, Compute Near Data]
8Cfwia0AAAAJ	LIN MA	[Parallel Computing, Programming and Performance Model for Many-core (GPUs) and Heterogeneous Architectures.]
kJ_03NMAAAAJ	Arpith Jacob	[N/A]
0v5utcwAAAAJ	Ayan Chakrabarti	[Computer Vision, Computational Photography, Machine Learning]
MxantswAAAAJ	Charles Schaff	[Machine Learning, Artificial Intelligence, Robotics]
RAiewnEAAAAJ	Matthew R. Walter	[Robotics, Computer Vision, Artificial Intelligence, Probabilistic Robotics, Natural Language Processing]
bpSF_9EAAAAJ	Srinadh Bhojanapalli	[Machine learning, Algorithms]
e1ucbCYAAAAJ	Behnam Neyshabur	[Machine Learning, Optimization, Deep Learning]
KzSKtNUAAAAJ	Baochen Sun	[Computer Vision, Machine Learning, Deep Learning]
j7uL6VEAAAAJ	Kalyan Sunkavalli	[Computer Graphics, Computer Vision, Computational Photography, Machine Learning]
Sl_2kHcAAAAJ	Igor Vasiljevic	[computer vision]
d6vuvHIAAAAJ	Ronen Basri	[Computer Vision]
WH2KmRgAAAAJ	David W. Jacobs	[Computer Vision]
9xDADY4AAAAJ	Kate Saenko	[Computer Vision, Machine Learning, Artificial Intelligence]
bh-uRFMAAAAJ	Trevor Darrell	[Computer Vision, Artificial Intelligence]
mZxsTCcAAAAJ	Rama Chellappa	[Computer Vision, Pattern Recognition, Image Processing, Signal Processing, Artificial Intelligence]
jXTZEw4AAAAJ	A N Rajagopalan	[Image Processing and Computer Vision]
66qppJsAAAAJ	Steven J. Gortler	[N/A]
YLOz1kgAAAAJ	Greg Shakhnarovich	[Computer Vision, Machine Learning]
JepH3ckAAAAJ	Daniel Scharstein	[Computer Vision, Robotics]
0zZnyMEAAAAJ	William T. Freeman	[computer vision, computational photography]
1c5IZ0QAAAAJ	Ying Xiong	[Computer Vision, Machine Learning, Computer Graphics]
aN4IwM4AAAAJ	Keigo Hirakawa	[N/A]
oizZKrsAAAAJ	Todd Zickler	[Computer Vision]
rynvwScAAAAJ	Aaron Bobick	[Computer Vision - Robotics]
G5_VFfkAAAAJ	Tucker Hermans	[Robotics, Manipulation, Robot Learning, Motion Planning, Artificial Intelligence]
Q_4d9N0AAAAJ	Greg Turk	[Computer Graphics, Robotics, Scientific Visualization, Biological Simulation]
gdD2E9QAAAAJ	Raffay Hamid	[N/A]
H7vcwSAAAAAJ	Vivek Kwatra	[Computer Vision, Image and Video Processing]
8kA3eDwAAAAJ	James M. Rehg	[computer vision, robotics, machine learning, human-computer interaction, parallel and distributed computing]
YPq3ax4AAAAJ	Claudio Pinhanez	[Artificial Intelligence, Social Networks, HCI, Ubiquitous Computing]
XM97iScAAAAJ	Irfan Essa	[Computer Vision, Computer Graphics, Machine Learning, Artificial Intelligence, Robotics]
qi7fvXoAAAAJ	Andrew Wilson	[Human Computer Interaction]
umwcZdgipNoC	Hila Ben Abraham	[N/A]
qC7oNRUAAAAJ	Sanjoy Baruah	[N/A]
FtbGhBQAAAAJ	Johannes Gehrke	[Database systems, data science, distributed systems, data mining]
E1jnOcUAAAAJ	Enrico Bini	[Real-Time Systems, Scheduling, Cyber-Physical Systems, Control Systems, Operating Systems]
J12C3nYAAAAJ	Kevin Jeffay	[networking, operating systems, multimedia computing]
xjVBcr4AAAAJ	Rob Davis	[Real-Time Systems, Scheduling, Embedded Systems, Multiprocessor, Networks]
e3_l6fwAAAAJ	Zhishan Guo	[Real-Time Systems, Machine Learning, Cyber-Physical Systems]
_4i-G3YAAAAJ	Theodore P. (Ted) Baker	[real-time systems, the Ada programming language]
rnBRPpQAAAAJ	Giuseppe Lipari	[Computer Science]
M6urChQAAAAJ	Aloysius Mok	[Real-time Systems, Cyber-physical Systems, Wireless Communication]
FlZ-5sMAAAAJ	Gianlorenzo D'Angelo	[N/A]
33CH6WUAAAAJ	Giorgio Buttazzo	[Real-Time Systems]
fZ2nbwsAAAAJ	Haohan Li	[Real-time Systems]
qk0hejcAAAAJ	Leen Stougie	[Optimization, Approximation Algorithms, Computational Biology]
